AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/17 11:19:53 219,M_1-PreAMP-S_2-D_1_50 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/17 11:20:59 251,194.800,-21.971,245561651,194800363,407340733,24.265, 8.679, 8.622, 0.000, 0.000,-45.486,23.511 

2020/02/17 11:21:00 235,194.800,-22.033,224043377,194800365,407467235,24.308, 8.568, 8.515, 0.000, 0.000,-45.495,23.458 

2020/02/17 11:21:01 198,194.800,-22.026,237966899,194800338,410631437,24.469, 8.441, 8.359, 0.000, 0.000,-45.476,23.490 

2020/02/17 11:21:02 202,194.800,-22.067,241764322,194800363,407593897,24.197, 8.646, 8.595, 0.000, 0.000,-45.499,23.429 

2020/02/17 11:21:03 188,194.800,-21.986,224043377,194800369,407720346,24.376, 8.528, 8.512, 0.000, 0.000,-45.484,23.494 

2020/02/17 11:21:04 173,194.800,-21.886,244295853,194800353,406201258,24.278, 8.749, 8.638, 0.000, 0.000,-45.493,23.421 

2020/02/17 11:21:05 156,194.800,-21.908,226574940,194800372,405694983,24.331, 8.709, 8.623, 0.000, 0.000,-45.485,23.413 

2020/02/17 11:21:06 140,194.800,-22.011,232903804,194800348,407340574,24.259, 8.675, 8.583, 0.000, 0.000,-45.491,23.477 

2020/02/17 11:21:07 126,194.800,-22.047,243030056,194800347,406328130,24.200, 8.685, 8.593, 0.000, 0.000,-45.485,23.434 

2020/02/17 11:21:08 874,194.800,-21.915,224043318,194800346,407467341,24.426, 8.596, 8.551, 0.000, 0.000,-45.541,23.617 

2020/02/17 11:21:09 958,194.800,-21.902,244295822,194800342,412150794,24.587, 8.431, 8.347, 0.000, 0.000,-45.486,23.580 

2020/02/17 11:21:10 778,194.800,-21.975,231638097,194800377,407340680,24.317, 8.622, 8.606, 0.000, 0.000,-45.538,23.559 

2020/02/17 11:21:11 624,194.800,-21.908,245561587,194800336,411770807,24.586, 8.407, 8.378, 0.000, 0.000,-45.484,23.548 

2020/02/17 11:21:12 469,194.800,-21.994,237966930,194800352,406074860,24.202, 8.696, 8.660, 0.000, 0.000,-45.486,23.499 

2020/02/17 11:21:13 307,194.800,-21.915,224043347,194800356,407467182,24.434, 8.556, 8.491, 0.000, 0.000,-45.470,23.551 

2020/02/17 11:21:14 157,194.800,-21.970,244295822,194800346,407467341,24.253, 8.701, 8.598, 0.000, 0.000,-45.493,23.519 

2020/02/17 11:21:14 989,194.800,-21.967,225309114,194800352,407340521,24.359, 8.581, 8.545, 0.000, 0.000,-45.549,23.514 

2020/02/17 11:21:15 983,194.800,-21.919,240498493,194800344,411770968,24.544, 8.466, 8.388, 0.000, 0.000,-45.480,23.557 

2020/02/17 11:21:16 968,194.800,-22.043,234169600,194800352,405695141,24.150, 8.736, 8.645, 0.000, 0.000,-45.485,23.439 

2020/02/17 11:21:17 939,194.800,-21.982,243030056,194800351,406580977,24.207, 8.701, 8.663, 0.000, 0.000,-45.494,23.409 

2020/02/17 11:21:18 937,194.800,-22.066,232903864,194800371,405948252,24.149, 8.706, 8.654, 0.000, 0.000,-45.491,23.420 

2020/02/17 11:21:19 922,194.800,-21.985,226574881,194800342,412277349,24.624, 8.327, 8.244, 0.000, 0.000,-45.485,23.497 

2020/02/17 11:21:20 906,194.800,-22.064,248093182,194800348,407467341,24.171, 8.688, 8.621, 0.000, 0.000,-45.484,23.416 

2020/02/17 11:21:21 890,194.800,-22.006,229106444,194800345,412403904,24.606, 8.317, 8.241, 0.000, 0.000,-45.473,23.508 

2020/02/17 11:21:22 877,194.800,-22.061,244295853,194800355,407213966,24.141, 8.709, 8.650, 0.000, 0.000,-45.502,23.437 

2020/02/17 11:21:23 860,194.800,-21.919,230372300,194800373,406581135,24.369, 8.619, 8.581, 0.000, 0.000,-45.539,23.616 

2020/02/17 11:21:24 821,194.800,-21.969,246827385,194800348,405948041,24.232, 8.729, 8.688, 0.000, 0.000,-45.477,23.486 

2020/02/17 11:21:25 828,194.800,-22.053,231638037,194800354,406834352,24.206, 8.641, 8.623, 0.000, 0.000,-45.498,23.441 

2020/02/17 11:21:26 812,194.800,-21.983,226574852,194800330,411771021,24.596, 8.327, 8.264, 0.000, 0.000,-45.476,23.489 

2020/02/17 11:21:27 797,194.800,-21.998,232903834,194800361,406328130,24.199, 8.734, 8.692, 0.000, 0.000,-45.490,23.502 

2020/02/17 11:21:28 780,194.800,-21.911,226574881,194800342,411391302,24.648, 8.355, 8.304, 0.000, 0.000,-45.481,23.484 

2020/02/17 11:21:29 764,194.800,-21.993,245561587,194800340,411770914,24.478, 8.462, 8.412, 0.000, 0.000,-45.499,23.502 

2020/02/17 11:21:30 750,194.800,-22.048,234169661,194800382,407087569,24.229, 8.634, 8.586, 0.000, 0.000,-45.544,23.493 

2020/02/17 11:21:31 712,194.800,-22.068,244295822,194800348,406201099,24.153, 8.696, 8.630, 0.000, 0.000,-45.488,23.486 

2020/02/17 11:21:32 720,194.800,-21.933,236701225,194800381,404682380,24.202, 8.790, 8.716, 0.000, 0.000,-45.538,23.601 

2020/02/17 11:21:33 702,194.800,-22.057,227840648,194800335,410884814,24.474, 8.390, 8.327, 0.000, 0.000,-45.501,23.440 

2020/02/17 11:21:34 687,194.800,-21.975,231638067,194800363,407340839,24.283, 8.656, 8.587, 0.000, 0.000,-45.483,23.524 

2020/02/17 11:21:35 673,194.800,-21.988,227840707,194800363,406960855,24.285, 8.653, 8.533, 0.000, 0.000,-45.516,23.470 

2020/02/17 11:21:36 656,194.800,-22.045,243030088,194800361,407340680,24.171, 8.740, 8.653, 0.000, 0.000,-45.492,23.444 

2020/02/17 11:21:37 641,194.800,-21.961,232903864,194800373,408100119,24.392, 8.604, 8.521, 0.000, 0.000,-45.545,23.580 

2020/02/17 11:21:38 614,194.800,-22.066,243030024,194800336,412024239,24.441, 8.413, 8.351, 0.000, 0.000,-45.474,23.492 

2020/02/17 11:21:39 608,194.800,-21.994,241764290,194800356,405694983,24.173, 8.724, 8.727, 0.000, 0.000,-45.490,23.492 

2020/02/17 11:21:40 593,194.800,-21.908,226574940,194800368,407087516,24.416, 8.606, 8.532, 0.000, 0.000,-45.478,23.566 

2020/02/17 11:21:41 559,194.800,-21.999,240498555,194800373,405568427,24.150, 8.768, 8.721, 0.000, 0.000,-45.488,23.501 

2020/02/17 11:21:42 562,194.800,-21.975,225309144,194800361,405441924,24.273, 8.699, 8.644, 0.000, 0.000,-45.469,23.491 

2020/02/17 11:21:43 547,194.800,-21.976,236701133,194800345,406454421,24.217, 8.735, 8.670, 0.000, 0.000,-45.495,23.515 

2020/02/17 11:21:44 531,194.800,-22.045,244295885,194800365,407593950,24.258, 8.626, 8.553, 0.000, 0.000,-45.488,23.439 

2020/02/17 11:21:45 516,194.800,-21.895,230372211,194800334,411137924,24.656, 8.387, 8.306, 0.000, 0.000,-45.482,23.583 

2020/02/17 11:21:46 499,194.800,-22.026,244295822,194800347,406961013,24.173, 8.709, 8.667, 0.000, 0.000,-45.486,23.456 

2020/02/17 11:21:47 486,194.800,-22.046,227840737,194800370,406074808,24.208, 8.681, 8.588, 0.000, 0.000,-45.487,23.437 

2020/02/17 11:21:48 446,194.800,-22.033,248093214,194800366,405568164,24.126, 8.768, 8.676, 0.000, 0.000,-45.500,23.498 

2020/02/17 11:21:49 454,194.800,-22.019,232903864,194800374,406201416,24.222, 8.686, 8.604, 0.000, 0.000,-45.544,23.522 

2020/02/17 11:21:50 438,194.800,-22.144,229106474,194800355,407340574,24.135, 8.634, 8.567, 0.000, 0.000,-45.495,23.347 

2020/02/17 11:21:51 423,194.800,-22.048,232903864,194800377,406834405,24.132, 8.723, 8.701, 0.000, 0.000,-45.495,23.459 

2020/02/17 11:21:52 407,194.800,-22.047,225309114,194800348,408479838,24.347, 8.539, 8.472, 0.000, 0.000,-45.539,23.645 

2020/02/17 11:21:53 390,194.800,-22.043,244295822,194800338,412024024,24.448, 8.440, 8.342, 0.000, 0.000,-45.489,23.442 

2020/02/17 11:21:54 373,194.800,-21.963,239232758,194800368,405188866,24.202, 8.756, 8.694, 0.000, 0.000,-45.482,23.515 

2020/02/17 11:21:55 337,194.800,-21.966,237966930,194800350,406454316,24.257, 8.715, 8.666, 0.000, 0.000,-45.483,23.505 

2020/02/17 11:21:56 346,194.800,-21.962,241764353,194800381,405441872,24.157, 8.782, 8.762, 0.000, 0.000,-45.548,23.583 

2020/02/17 11:21:57 327,194.800,-21.963,224043377,194800373,406074860,24.303, 8.660, 8.593, 0.000, 0.000,-45.539,23.572 

2020/02/17 11:21:58 313,194.800,-22.028,243030088,194800361,405821591,24.119, 8.780, 8.721, 0.000, 0.000,-45.474,23.560 

2020/02/17 11:21:59 297,194.800,-21.957,226574970,194800378,406327972,24.278, 8.685, 8.604, 0.000, 0.000,-45.498,23.436 

2020/02/17 11:22:00 281,194.800,-21.966,226574911,194800350,407213913,24.341, 8.615, 8.572, 0.000, 0.000,-45.481,23.512 

2020/02/17 11:22:01 266,194.800,-22.034,241764322,194800368,407340839,24.215, 8.658, 8.570, 0.000, 0.000,-45.490,23.453 

2020/02/17 11:22:02 239,194.800,-22.052,225309085,194800332,411011476,24.508, 8.361, 8.327, 0.000, 0.000,-45.542,23.555 

2020/02/17 11:22:03 233,194.800,-22.046,244295853,194800356,407087410,24.136, 8.750, 8.704, 0.000, 0.000,-45.481,23.432 

2020/02/17 11:22:04 218,194.800,-22.051,230372300,194800374,406201416,24.193, 8.669, 8.584, 0.000, 0.000,-45.547,23.492 

2020/02/17 11:22:05 184,194.800,-21.973,246827449,194800364,404429059,24.139, 8.820, 8.759, 0.000, 0.000,-45.488,23.533 

2020/02/17 11:22:06 188,194.800,-22.006,231638097,194800383,406201469,24.203, 8.722, 8.638, 0.000, 0.000,-45.546,23.536 

2020/02/17 11:22:07 171,194.800,-22.046,225309114,194800350,407340574,24.276, 8.623, 8.514, 0.000, 0.000,-45.487,23.437 

2020/02/17 11:22:08 156,194.800,-21.950,243030088,194800362,406454686,24.260, 8.701, 8.627, 0.000, 0.000,-45.481,23.528 

2020/02/17 11:22:09 140,194.800,-21.948,225309144,194800363,406454421,24.314, 8.689, 8.582, 0.000, 0.000,-45.553,23.609 

2020/02/17 11:22:10 124,194.800,-22.027,244295853,194800357,406581083,24.114, 8.780, 8.746, 0.000, 0.000,-45.494,23.464 

2020/02/17 11:22:11 110,194.800,-21.959,232903894,194800389,405694983,24.228, 8.741, 8.683, 0.000, 0.000,-45.552,23.589 

2020/02/17 11:22:12 720,194.800,-22.021,244295885,194800368,406327866,24.182, 8.723, 8.613, 0.000, 0.000,-45.490,23.532 

2020/02/17 11:22:13 780,194.800,-22.035,231638097,194800382,405441872,24.115, 8.773, 8.728, 0.000, 0.000,-45.553,23.514 

2020/02/17 11:22:14 631,194.800,-22.046,226574970,194800380,407467235,24.282, 8.610, 8.538, 0.000, 0.000,-45.554,23.504 

2020/02/17 11:22:15 480,194.800,-22.035,231638097,194800377,406581241,24.155, 8.714, 8.668, 0.000, 0.000,-45.488,23.447 

2020/02/17 11:22:16 311,194.800,-22.060,226574881,194800343,410251878,24.466, 8.389, 8.335, 0.000, 0.000,-45.552,23.590 

2020/02/17 11:22:17 149,194.800,-22.050,241764259,194800347,406707744,24.116, 8.751, 8.697, 0.000, 0.000,-45.489,23.436 

2020/02/17 11:22:17 186,194.800,-21.946,236701164,194800357,405315316,24.209, 8.765, 8.687, 0.000, 0.000,-45.491,23.541 

