AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 22:31:24 607,M_1-PreAMP-S_3-1-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 22:32:29 655,194.800,-25.439,250625755,194800742, 0.000,29.009,0,0.00863284, 0.000, 0.000,-46.650,21.244 

2020/02/13 22:32:30 636,194.800,-25.443,237967796,194800707, 0.000,29.012,0.06627166,0.03543719, 0.000, 0.000,-46.637,21.189 

2020/02/13 22:32:31 622,194.800,-25.405,229107397,194800749, 0.000,29.062,0.09841029,0.03350829, 0.000, 0.000,-46.636,21.225 

2020/02/13 22:32:32 583,194.800,-25.572,243031004,194800730, 0.000,28.863,0,0.05498215, 0.000, 0.000,-46.643,21.189 

2020/02/13 22:32:33 590,194.800,-25.467,249359887,194800714, 0.000,28.988,0,0.05388063, 0.000, 0.000,-46.628,21.155 

2020/02/13 22:32:34 574,194.800,-25.451,229107308,194800707, 0.000,29.012,0.08063776,0.00577156, 0.000, 0.000,-46.642,21.184 

2020/02/13 22:32:35 558,194.800,-25.415,237967950,194800767, 0.000,29.042,0.09524776,0.07808143, 0.000, 0.000,-46.649,21.189 

2020/02/13 22:32:36 545,194.800,-25.419,248094117,194800718, 0.000,29.044,0.09743350,0.00649518, 0.000, 0.000,-46.640,21.209 

2020/02/13 22:32:37 527,194.800,-25.501,229107397,194800745, 0.000,28.956,0,0, 0.000, 0.000,-46.648,21.142 

2020/02/13 22:32:38 512,194.800,-25.497,245562608,194800741, 0.000,28.960,0,0.01550080, 0.000, 0.000,-46.653,21.151 

2020/02/13 22:32:39 474,194.800,-25.460,249359887,194800715, 0.000,28.999,0,-0.00661154, 0.000, 0.000,-46.649,21.229 

2020/02/13 22:32:40 480,194.800,-25.567,231638910,194800718, 0.000,28.910,0.07076867,-0.00261521, 0.000, 0.000,-46.651,21.078 

2020/02/13 22:32:41 464,194.800,-25.424,239233660,194800738, 0.000,29.040,0.07670282,-0.01148493, 0.000, 0.000,-46.638,21.208 

