AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 16:36:21 607,M_1-PreAMP-S_2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 16:37:13 854,194.800,-25.708,227841862,194800855, 0.000,28.753,0.09235640,-0.00517075, 0.000, 0.000,-46.626,20.912 

2020/02/13 16:37:14 839,194.800,-25.727,236702394,194800860, 0.000,28.691,0,0.04879278, 0.000, 0.000,-46.648,20.916 

2020/02/13 16:37:15 825,194.800,-25.621,244297092,194800852, 0.000,28.811,0,0.01683248, 0.000, 0.000,-46.643,20.903 

2020/02/13 16:37:16 809,194.800,-25.706,230373438,194800851, 0.000,28.762,0.07182834,0.04320821, 0.000, 0.000,-46.627,21.126 

2020/02/13 16:37:17 793,194.800,-25.472,230373498,194800880, 0.000,28.991,0.08219533,-0.03748580, 0.000, 0.000,-46.623,21.145 

2020/02/13 16:37:18 778,194.800,-25.653,244297028,194800828, 0.000,28.793,0.09444110,0.03445856, 0.000, 0.000,-46.617,20.957 

2020/02/13 16:37:19 750,194.800,-25.737,234170696,194800812, 0.000,28.726,0.08264336,-0.00489524, 0.000, 0.000,-46.636,20.889 

2020/02/13 16:37:20 745,194.800,-25.752,226576059,194800853, 0.000,28.701,0.05725805,0.02473951, 0.000, 0.000,-46.632,20.873 

2020/02/13 16:37:21 731,194.800,-25.478,245562864,194800847, 0.000,28.951,0,0.06175235, 0.000, 0.000,-46.625,21.141 

2020/02/13 16:37:22 701,194.800,-25.466,241765516,194800850, 0.000,28.997,0.05758685,-0.03452248, 0.000, 0.000,-46.627,21.171 

2020/02/13 16:37:23 700,194.800,-25.554,227841891,194800866, 0.000,28.889,0.07661207,0.01777376, 0.000, 0.000,-46.627,21.066 

2020/02/13 16:37:24 684,194.800,-25.738,244297060,194800837, 0.000,28.687,0,0.03987730, 0.000, 0.000,-46.631,20.886 

2020/02/13 16:37:25 669,194.800,-25.464,239233971,194800857, 0.000,28.978,0.08538427,0.02644178, 0.000, 0.000,-46.621,21.151 

