AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:52:40 253,M_1-PreAMP-S_3-2-D_1_125_6H 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:54:16 798,194.804,-23.945,182275693,194802030,320381405,15.988, 5.745, 5.697, 0.000, 0.000,-47.223,23.247 

2020/02/12 20:54:17 771,194.804,-23.951,182275764,194802071,321141028,16.036, 5.696, 5.647, 0.000, 0.000,-47.226,23.257 

2020/02/12 20:54:18 764,194.804,-23.948,181769419,194802060,320128323,15.908, 5.832, 5.767, 0.000, 0.000,-47.223,23.245 

2020/02/12 20:54:19 749,194.804,-23.957,181895940,194802026,320001553,15.900, 5.832, 5.776, 0.000, 0.000,-47.224,23.238 

2020/02/12 20:54:20 711,194.805,-23.937,182022627,194802083,321141028,16.051, 5.698, 5.639, 0.000, 0.000,-47.234,23.259 

2020/02/12 20:54:21 717,194.804,-23.938,181642850,194802066,319748512,15.916, 5.832, 5.773, 0.000, 0.000,-47.232,23.264 

2020/02/12 20:54:22 701,194.803,-23.935,181642827,194802052,319621866,15.932, 5.821, 5.760, 0.000, 0.000,-47.223,23.258 

2020/02/12 20:54:23 665,194.802,-23.945,182908583,194802030,322280170,16.050, 5.692, 5.632, 0.000, 0.000,-47.224,23.247 

2020/02/12 20:54:24 671,194.805,-23.971,183794705,194802059,321773839,16.072, 5.649, 5.593, 0.000, 0.000,-47.223,23.222 

2020/02/12 20:54:25 655,194.804,-23.848,182149148,194802053,320508009,16.101, 5.740, 5.682, 0.000, 0.000,-47.224,23.347 

2020/02/12 20:54:26 629,194.803,-23.962,183288336,194802034,322280254,16.008, 5.719, 5.659, 0.000, 0.000,-47.224,23.321 

2020/02/12 20:54:27 625,194.803,-23.937,183541568,194802066,322280170,16.141, 5.607, 5.551, 0.000, 0.000,-47.231,23.264 

2020/02/12 20:54:28 608,194.803,-23.940,182275788,194802079,320634655,16.029, 5.720, 5.658, 0.000, 0.000,-47.231,23.261 

2020/02/12 20:54:29 592,194.803,-23.944,182908583,194802028,322406858,16.020, 5.724, 5.670, 0.000, 0.000,-47.231,23.253 

2020/02/12 20:54:30 577,194.803,-23.945,183668112,194802047,321394027,16.070, 5.673, 5.605, 0.000, 0.000,-47.232,23.266 

2020/02/12 20:54:31 560,194.803,-23.943,183035270,194802085,320887821,16.044, 5.707, 5.641, 0.000, 0.000,-47.219,23.246 

2020/02/12 20:54:32 546,194.803,-23.846,182655493,194802064,321647277,16.090, 5.752, 5.691, 0.000, 0.000,-47.224,23.349 

2020/02/12 20:54:33 531,194.804,-23.947,183288336,194802035,321393985,16.080, 5.658, 5.603, 0.000, 0.000,-47.225,23.339 

2020/02/12 20:54:34 513,194.804,-23.956,183035246,194802071,322027130,16.097, 5.631, 5.569, 0.000, 0.000,-47.226,23.240 

2020/02/12 20:54:35 500,194.804,-23.845,181769442,194802073,320761092,16.052, 5.791, 5.732, 0.000, 0.000,-47.224,23.350 

2020/02/12 20:54:36 473,194.802,-23.947,183035199,194802046,321773755,16.074, 5.666, 5.601, 0.000, 0.000,-47.225,23.233 

2020/02/12 20:54:37 466,194.803,-23.961,182908654,194802065,321267549,16.055, 5.671, 5.608, 0.000, 0.000,-47.225,23.234 

2020/02/12 20:54:38 452,194.804,-23.951,182275788,194802083,320128281,15.959, 5.778, 5.719, 0.000, 0.000,-47.225,23.244 

2020/02/12 20:54:39 415,194.803,-23.939,183161743,194802026,320887570,16.019, 5.732, 5.672, 0.000, 0.000,-47.222,23.243 

2020/02/12 20:54:40 420,194.804,-23.920,183414952,194802055,321267382,16.099, 5.672, 5.618, 0.000, 0.000,-47.225,23.275 

2020/02/12 20:54:41 404,194.803,-23.939,182908654,194802064,321394027,16.074, 5.673, 5.614, 0.000, 0.000,-47.230,23.262 

2020/02/12 20:54:42 368,194.804,-23.943,181769419,194802057,318862286,15.909, 5.834, 5.771, 0.000, 0.000,-47.223,23.241 

