AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/29 22:20:15 626,M_1-PreAMP-S_3-1-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/29 22:21:13 788,194.801,-20.406,178983464,194801412,366575387,13.102,13.759,13.740, 0.000, 0.000,-42.346,21.900 

2019/10/29 22:21:14 761,194.801,-20.472,178224010,194801425,369740341,13.266,13.520,13.508, 0.000, 0.000,-42.376,21.864 

2019/10/29 22:21:15 755,194.801,-20.489,179236623,194801410,369360481,13.211,13.558,13.549, 0.000, 0.000,-42.389,21.859 

2019/10/29 22:21:16 738,194.801,-20.400,179616350,194801403,367208406,13.094,13.769,13.754, 0.000, 0.000,-42.356,21.916 

2019/10/29 22:21:17 724,194.801,-20.400,179616350,194801403,367208406,13.094,13.769,13.754, 0.000, 0.000,-42.359,21.907 

2019/10/29 22:21:18 707,194.801,-20.412,178477192,194801439,368600857,13.224,13.622,13.610, 0.000, 0.000,-42.359,21.907 

2019/10/29 22:21:19 694,194.801,-20.377,179236623,194801415,368727605,13.217,13.679,13.658, 0.000, 0.000,-42.375,21.958 

2019/10/29 22:21:20 675,194.801,-20.383,178603714,194801407,368347698,13.210,13.673,13.654, 0.000, 0.000,-42.333,21.909 

2019/10/29 22:21:21 632,194.801,-20.404,178603784,194801446,368980621,13.231,13.630,13.609, 0.000, 0.000,-42.348,21.903 

2019/10/29 22:21:22 646,194.801,-20.380,179110009,194801397,368854065,13.255,13.631,13.613, 0.000, 0.000,-42.384,21.964 

2019/10/29 22:21:23 630,194.801,-20.479,179742918,194801400,368600905,13.156,13.632,13.607, 0.000, 0.000,-42.388,21.868 

2019/10/29 22:21:24 616,194.801,-20.479,179742918,194801400,368600905,13.156,13.632,13.607, 0.000, 0.000,-42.356,21.931 

2019/10/29 22:21:25 597,194.801,-20.386,179869439,194801368,367208406,13.108,13.774,13.754, 0.000, 0.000,-42.356,21.931 

2019/10/29 22:21:26 581,194.801,-20.490,178983511,194801437,370753126,13.274,13.495,13.479, 0.000, 0.000,-42.370,21.839 

2019/10/29 22:21:27 567,194.801,-20.378,177844329,194801453,370753078,13.296,13.596,13.571, 0.000, 0.000,-42.351,21.932 

2019/10/29 22:21:28 523,194.801,-20.391,180122575,194801357,368221046,13.151,13.725,13.705, 0.000, 0.000,-42.364,21.933 

2019/10/29 22:21:29 535,194.801,-20.390,178730305,194801413,368980669,13.181,13.696,13.675, 0.000, 0.000,-42.332,21.901 

2019/10/29 22:21:30 519,194.801,-20.393,179236670,194801436,368474254,13.178,13.695,13.675, 0.000, 0.000,-42.356,21.923 

2019/10/29 22:21:31 504,194.801,-20.393,178856966,194801456,367334915,13.095,13.779,13.762, 0.000, 0.000,-42.381,21.877 

2019/10/29 22:21:32 489,194.801,-20.463,179110079,194801431,368474254,13.144,13.654,13.631, 0.000, 0.000,-42.381,21.877 

2019/10/29 22:21:33 475,194.801,-20.455,179995937,194801322,366575340,13.067,13.738,13.730, 0.000, 0.000,-42.364,21.869 

2019/10/29 22:21:34 459,194.801,-20.403,179869556,194801433,368727509,13.117,13.748,13.728, 0.000, 0.000,-42.339,21.895 

2019/10/29 22:21:35 438,194.801,-20.390,177844260,194801418,369487181,13.288,13.586,13.565, 0.000, 0.000,-42.380,21.951 

2019/10/29 22:21:36 428,194.801,-20.401,180122575,194801358,368221189,13.156,13.705,13.694, 0.000, 0.000,-42.385,21.944 

2019/10/29 22:21:37 410,194.801,-20.401,180122575,194801358,368221189,13.156,13.705,13.694, 0.000, 0.000,-42.341,21.907 

2019/10/29 22:21:38 395,194.801,-20.394,179869416,194801354,367081707,13.071,13.806,13.782, 0.000, 0.000,-42.339,21.905 

2019/10/29 22:21:39 378,194.801,-20.383,178603853,194801482,370499870,13.264,13.623,13.598, 0.000, 0.000,-42.336,21.913 

2019/10/29 22:21:40 366,194.801,-20.386,177717692,194801424,369233829,13.243,13.639,13.617, 0.000, 0.000,-42.351,21.924 

2019/10/29 22:21:41 321,194.801,-20.392,179742825,194801346,367461471,13.095,13.778,13.759, 0.000, 0.000,-42.354,21.922 

2019/10/29 22:21:42 331,194.801,-20.394,180249236,194801401,367967886,13.078,13.793,13.774, 0.000, 0.000,-42.335,21.900 

2019/10/29 22:21:43 317,194.801,-20.380,179236623,194801409,367967886,13.131,13.750,13.735, 0.000, 0.000,-42.354,21.934 

2019/10/29 22:21:44 302,194.801,-20.380,179236623,194801409,367967886,13.131,13.750,13.735, 0.000, 0.000,-42.368,21.841 

2019/10/29 22:21:45 286,194.801,-20.486,178856850,194801392,369233829,13.168,13.609,13.590, 0.000, 0.000,-42.368,21.841 

2019/10/29 22:21:46 271,194.801,-20.485,178856850,194801392,366068878,13.018,13.759,13.738, 0.000, 0.000,-42.357,21.830 

2019/10/29 22:21:47 254,194.801,-20.395,179489829,194801440,368854113,13.116,13.757,13.736, 0.000, 0.000,-42.327,21.891 

2019/10/29 22:21:48 210,194.801,-20.407,178730375,194801450,369866897,13.225,13.629,13.614, 0.000, 0.000,-42.337,21.889 

2019/10/29 22:21:49 226,194.801,-20.479,179109986,194801384,365689114,12.969,13.817,13.793, 0.000, 0.000,-42.361,21.841 

2019/10/29 22:21:50 207,194.801,-20.482,179110009,194801396,366195576,13.003,13.771,13.756, 0.000, 0.000,-42.365,21.842 

2019/10/29 22:21:51 192,194.801,-20.482,179110009,194801396,366195576,13.003,13.771,13.755, 0.000, 0.000,-42.386,21.872 

2019/10/29 22:21:52 177,194.801,-20.473,179996054,194801388,369107273,13.195,13.597,13.572, 0.000, 0.000,-42.386,21.872 

2019/10/29 22:21:53 162,194.801,-20.383,178856920,194801434,369107321,13.199,13.688,13.663, 0.000, 0.000,-42.356,21.933 

2019/10/29 22:21:54 145,194.801,-20.402,179869439,194801363,366701943,13.063,13.802,13.784, 0.000, 0.000,-42.345,21.903 

2019/10/29 22:21:55 125,194.801,-20.487,180375757,194801371,367588122,13.057,13.726,13.698, 0.000, 0.000,-42.362,21.834 

2019/10/29 22:21:56 114,194.801,-20.405,179743012,194801450,368727509,13.126,13.738,13.717, 0.000, 0.000,-42.352,21.906 

2019/10/29 22:21:57 100,194.801,-20.405,179743012,194801450,368727509,13.126,13.738,13.717, 0.000, 0.000,-42.342,21.902 

2019/10/29 22:21:58 853,194.801,-20.399,177970874,194801440,370499918,13.250,13.622,13.596, 0.000, 0.000,-42.375,21.864 

2019/10/29 22:21:59 667,194.801,-20.470,179363191,194801401,368474301,13.154,13.639,13.619, 0.000, 0.000,-42.385,21.874 

2019/10/29 22:22:00 499,194.801,-20.394,179489829,194801435,368854161,13.153,13.721,13.701, 0.000, 0.000,-42.344,21.910 

2019/10/29 22:22:01 996,194.801,-20.448,180122668,194801405,370246758,13.227,13.592,13.568, 0.000, 0.000,-42.368,21.880 

2019/10/29 22:22:02 200,194.801,-20.463,179616374,194801418,369740341,13.227,13.575,13.550, 0.000, 0.000,-42.383,21.880 

2019/10/29 22:22:03 456,194.801,-20.385,178603598,194801347,368221189,13.152,13.730,13.712, 0.000, 0.000,-42.342,21.917 

2019/10/29 22:22:03 990,194.801,-20.385,178603598,194801347,368221189,13.152,13.730,13.712, 0.000, 0.000,-42.319,21.897 

2019/10/29 22:22:04 972,194.801,-20.381,178730421,194801473,368094442,13.131,13.748,13.730, 0.000, 0.000,-42.319,21.897 

2019/10/29 22:22:05 957,194.801,-20.384,179363214,194801419,368727605,13.165,13.719,13.698, 0.000, 0.000,-42.348,21.923 

2019/10/29 22:22:06 944,194.801,-20.446,179363284,194801455,369107177,13.208,13.606,13.593, 0.000, 0.000,-42.387,21.901 

2019/10/29 22:22:07 898,194.801,-20.403,179869439,194801366,367714822,13.099,13.765,13.744, 0.000, 0.000,-42.347,21.904 

2019/10/29 22:22:08 910,194.801,-20.385,180249166,194801361,367461566,13.116,13.759,13.738, 0.000, 0.000,-42.351,21.926 

