AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/09 08:18:43 250,M_1-PreAMP-S_2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/09 08:20:07 988,194.801,-21.178,179617050,194801782,383919004,13.914,12.514,12.480, 0.000, 0.000,-41.741,20.507 

2019/10/09 08:20:08 971,194.801,-21.079,179996826,194801806,381766910,13.773,12.756,12.731, 0.000, 0.000,-41.657,20.523 

2019/10/09 08:20:09 959,194.801,-21.164,181009419,194801776,381133933,13.740,12.691,12.676, 0.000, 0.000,-41.717,20.497 

2019/10/09 08:20:10 940,194.801,-21.085,180503193,194801824,382273282,13.789,12.735,12.717, 0.000, 0.000,-41.646,20.506 

2019/10/09 08:20:11 928,194.801,-21.085,180503193,194801824,382273282,13.789,12.735,12.717, 0.000, 0.000,-41.653,20.504 

2019/10/09 08:20:12 910,194.801,-21.093,179363960,194801826,381766861,13.825,12.677,12.671, 0.000, 0.000,-41.653,20.504 

2019/10/09 08:20:13 893,194.801,-21.111,178604341,194801747,383285977,13.968,12.522,12.501, 0.000, 0.000,-41.681,20.514 

2019/10/09 08:20:14 880,194.801,-21.259,181009442,194801790,382399888,13.703,12.631,12.613, 0.000, 0.000,-41.738,20.422 

2019/10/09 08:20:15 834,194.801,-21.073,178731025,194801807,383665843,13.873,12.655,12.637, 0.000, 0.000,-41.636,20.507 

2019/10/09 08:20:16 849,194.801,-21.250,179870304,194801832,384551982,13.936,12.400,12.390, 0.000, 0.000,-41.745,20.439 

2019/10/09 08:20:17 832,194.801,-21.072,180249962,194801796,382020072,13.765,12.766,12.746, 0.000, 0.000,-41.658,20.531 

2019/10/09 08:20:18 819,194.801,-21.072,180249962,194801796,382020072,13.765,12.766,12.746, 0.000, 0.000,-41.627,20.501 

2019/10/09 08:20:19 803,194.801,-21.070,179237345,194801805,381133933,13.776,12.761,12.743, 0.000, 0.000,-41.627,20.501 

2019/10/09 08:20:20 784,194.801,-21.142,180123394,194801794,381260588,13.637,12.821,12.807, 0.000, 0.000,-41.631,20.432 

2019/10/09 08:20:21 769,194.801,-21.154,179996896,194801843,381640305,13.751,12.686,12.676, 0.000, 0.000,-41.644,20.434 

2019/10/09 08:20:22 726,194.801,-21.074,179617121,194801824,382653099,13.845,12.678,12.666, 0.000, 0.000,-41.666,20.537 

2019/10/09 08:20:23 740,194.801,-21.069,179743572,194801750,381513700,13.765,12.770,12.759, 0.000, 0.000,-41.659,20.535 

2019/10/09 08:20:24 723,194.801,-21.069,179617027,194801769,382526443,13.779,12.755,12.744, 0.000, 0.000,-41.628,20.504 

2019/10/09 08:20:25 706,194.801,-21.069,179617027,194801769,382526443,13.779,12.755,12.740, 0.000, 0.000,-41.724,20.496 

2019/10/09 08:20:26 692,194.801,-21.173,179996872,194801828,380880723,13.686,12.735,12.721, 0.000, 0.000,-41.724,20.496 

2019/10/09 08:20:27 678,194.801,-21.076,179870257,194801815,381640355,13.715,12.815,12.801, 0.000, 0.000,-41.642,20.511 

2019/10/09 08:20:28 662,194.801,-21.071,179237345,194801807,380754118,13.753,12.783,12.758, 0.000, 0.000,-41.669,20.543 

2019/10/09 08:20:29 639,194.801,-21.080,180376531,194801787,381513749,13.724,12.801,12.787, 0.000, 0.000,-41.654,20.519 

2019/10/09 08:20:30 628,194.801,-20.981,179617027,194801776,380121240,13.761,12.867,12.852, 0.000, 0.000,-41.603,20.567 

2019/10/09 08:20:31 614,194.801,-20.981,179617027,194801776,380121240,13.761,12.867,12.852, 0.000, 0.000,-41.664,20.470 

2019/10/09 08:20:32 599,194.801,-21.138,179870234,194801803,381640305,13.753,12.708,12.689, 0.000, 0.000,-41.646,20.527 

2019/10/09 08:20:33 581,194.801,-21.063,180882874,194801798,382653099,13.795,12.746,12.733, 0.000, 0.000,-41.645,20.527 

2019/10/09 08:20:34 565,194.801,-21.136,179363867,194801773,384425427,13.929,12.533,12.510, 0.000, 0.000,-41.761,20.570 

2019/10/09 08:20:35 527,194.801,-21.129,180376437,194801735,382653148,13.755,12.715,12.707, 0.000, 0.000,-41.725,20.541 

2019/10/09 08:20:36 535,194.801,-21.054,179363890,194801788,380754068,13.768,12.785,12.770, 0.000, 0.000,-41.641,20.532 

2019/10/09 08:20:37 520,194.801,-21.068,179743642,194801795,382146677,13.849,12.684,12.674, 0.000, 0.000,-41.650,20.527 

2019/10/09 08:20:38 506,194.801,-21.068,179743642,194801795,382146677,13.849,12.684,12.674, 0.000, 0.000,-41.654,20.466 

2019/10/09 08:20:39 489,194.801,-21.132,180250056,194801843,384172215,13.894,12.567,12.557, 0.000, 0.000,-41.654,20.466 

2019/10/09 08:20:40 473,194.801,-21.066,179237392,194801826,384552032,13.946,12.595,12.569, 0.000, 0.000,-41.651,20.530 

2019/10/09 08:20:41 457,194.801,-21.165,180629597,194801736,381387095,13.750,12.670,12.673, 0.000, 0.000,-41.758,20.538 

2019/10/09 08:20:42 414,194.801,-21.061,179870281,194801821,381640355,13.708,12.836,12.816, 0.000, 0.000,-41.632,20.516 

2019/10/09 08:20:43 425,194.801,-21.045,181009513,194801827,382526543,13.750,12.814,12.780, 0.000, 0.000,-41.600,20.499 

2019/10/09 08:20:44 410,194.801,-21.047,179617237,194801884,377083406,13.518,13.038,13.023, 0.000, 0.000,-41.646,20.544 

2019/10/09 08:20:45 394,194.801,-21.047,179617237,194801884,377083406,13.518,13.038,13.023, 0.000, 0.000,-41.656,20.471 

2019/10/09 08:20:46 381,194.801,-21.128,180882851,194801784,382906310,13.776,12.687,12.681, 0.000, 0.000,-41.656,20.471 

2019/10/09 08:20:47 363,194.801,-21.143,179237299,194801780,384298821,13.875,12.583,12.559, 0.000, 0.000,-41.637,20.438 

2019/10/09 08:20:48 347,194.801,-21.090,179996826,194801810,380754167,13.661,12.850,12.843, 0.000, 0.000,-41.674,20.528 

2019/10/09 08:20:49 310,194.801,-21.149,179996872,194801832,383665793,13.813,12.633,12.622, 0.000, 0.000,-41.632,20.426 

2019/10/09 08:20:50 317,194.801,-21.132,180503240,194801853,375184917,13.345,13.111,13.105, 0.000, 0.000,-41.629,20.440 

2019/10/09 08:20:51 303,194.801,-21.132,180503240,194801853,375184917,13.345,13.122,13.105, 0.000, 0.000,-41.633,20.444 

2019/10/09 08:20:52 285,194.801,-21.133,180629832,194801859,375311522,13.366,13.101,13.088, 0.000, 0.000,-41.639,20.552 

2019/10/09 08:20:53 270,194.801,-21.032,179743666,194801808,382146677,13.823,12.752,12.731, 0.000, 0.000,-41.639,20.552 

2019/10/09 08:20:54 255,194.801,-21.128,180882804,194801757,381513749,13.662,12.802,12.783, 0.000, 0.000,-41.629,20.444 

2019/10/09 08:20:55 226,194.801,-21.063,180123511,194801865,376450674,13.454,13.081,13.074, 0.000, 0.000,-41.621,20.502 

2019/10/09 08:20:56 223,194.801,-21.064,179996919,194801851,375058312,13.384,13.150,13.138, 0.000, 0.000,-41.672,20.553 

2019/10/09 08:20:57 207,194.801,-21.047,178984232,194801829,383032865,13.885,12.668,12.651, 0.000, 0.000,-41.628,20.526 

2019/10/09 08:20:58 191,194.801,-21.047,178984232,194801829,383032865,13.885,12.668,12.651, 0.000, 0.000,-41.626,20.523 

2019/10/09 08:20:59 178,194.801,-21.047,179616957,194801738,380247845,13.665,12.894,12.879, 0.000, 0.000,-41.626,20.523 

2019/10/09 08:21:00 159,194.801,-21.113,179996896,194801845,383918954,13.900,12.574,12.569, 0.000, 0.000,-41.613,20.444 

2019/10/09 08:21:01 145,194.801,-21.046,180756423,194801868,375944303,13.486,13.071,13.061, 0.000, 0.000,-41.645,20.544 

2019/10/09 08:21:02 100,194.801,-21.137,180756259,194801780,382906310,13.824,12.633,12.629, 0.000, 0.000,-41.736,20.544 

